Startup Name,Industry,Funding Stage,Technology Description,Country,W (%),X (%),Y (%),Z (%),Final Label,Explanation,Angel's Advocate,Sequence,Phase
Sadiq AI,Artificial Intelligence,Buildathon Pipeline,"An AI‑driven app for tracking, analyzing, and improving daily Islamic practices among Muslims in Indonesia",Indonesia,0%,0%,70%,30%,Y,"“Sadiq AI is in a buildathon pipeline with no external funding yet, addressing a specific need for tracking and enhancing daily worship among tech‑savvy, middle‑income Muslims. Its planned features (reminders, tracking, analysis, tips) align with a scaling phase typical of Rocket Y. The heavy weighting on Rocket Y (70%) reflects its potential once the MVP is built and pilot-tested.”","“If initial user feedback is weak or if adoption is slower than anticipated, there might be a case for re‑evaluating its fit as Rocket X during early traction.”",Launch,1
Aryeh yehuda investment cc,Agriculture,Unsuccessful,"Produces charcoal and biochar from firewood using a sustainable, carbon‑neutral kiln process for agricultural and energy needs",Namibia,10%,20%,60%,10%,Y,“Aryeh yehuda investment cc focuses on sustainable biomass production with a clear market potential in high‑demand regions. Its process and market data (global charcoal market ~$7B–$10B) suggest a strong scaling profile that aligns with Rocket Y’s metrics. The percentages reflect an advanced technology and revenue potential despite being early stage.”,"“Should operational scaling lag or if further investment is delayed, an argument could be made to temporarily position it within Rocket X until growth metrics improve.”",Run,4
Sesame Delights,Food & Beverage,Unsuccessful,"Converts sesame seeds into nutritious products (sesame milk, oil, sauce) to address malnutrition and food insecurity",Pakistan,40%,20%,20%,20%,W,"“Sesame Delights, although in the ideation/beta phase with no external funding, addresses a critical need in Pakistan’s food security market. Its focus on low‑cost, nutritious alternatives for malnourished populations fits early‑stage criteria. The balanced scoring with a slight edge to Rocket W supports its final classification as Rocket W.”","“If Sesame Delights secures pilot projects and demonstrates a scalable production model, its profile might evolve toward Rocket X over time.”",Launch,1
al muqutadiru center,Education/DEI,Unsuccessful,"Offers asset‑based diversity, equity & inclusion education through virtual training and certifications aimed at uniting communities",SouthAfrica,50%,20%,20%,10%,W,"“al muqutadiru center is in an ideation stage with no external funding yet, targeting diverse audiences for DEI education. Its concept of uniting people through virtual training meets early‑stage criteria. The overall metrics favor a Rocket W classification at this point.”",“Improved user engagement and initial pilot results could shift its profile to Rocket X in the future.”,Launch,1
Learnify,Education,"Unsuccessful, Beta",A membership platform in Central Asia that enables mentors to host classes with monthly subscriptions and gamified engagement,Uzbekistan,10%,10%,70%,10%,Y,"“Learnify, already developed and launching its Beta with plans to acquire 1,000 mentors, is targeting a huge market in Uzbekistan (TAM: 37M). Its innovative monthly membership model and LMS integration put it well into the scaling phase. The dominant 70% match for Rocket Y reflects its potential once it secures market adoption.”","“If initial traction among mentors is slow, Learnify might temporarily be seen as a Rocket X candidate until user growth accelerates.”",Run,4
Responsible Mining For Sustainable Future,Agriculture/AI,"Unsuccessful, Pre Seed",Develops comprehensive mining software integrating geological modeling and Shariah‑compliant financing for sustainable mining,Zambia,10%,20%,60%,10%,Y,"“Responsible Mining targets a niche market by offering AI‑driven mining solutions with integrated Islamic compliance, fitting advanced technology criteria. Its focus on empowering 65 women and 30 youths and its detailed roadmap are indicative of a Rocket Y profile. The percentages (10/20/60/10) reflect its potential once market entry begins.”","“Should initial user engagement be lower than expected, a temporary re‑assessment toward Rocket X could be considered until further development occurs.”",Run,4
Shifaclick,Healthcare & Life Sciences,Unsuccessful,"A holistic diagnostic lab and telehealth solution for celiac disease and food allergy testing, coupled with health education",UnitedStates,20%,20%,50%,10%,Y,“Shifaclick’s solution to address celiac disease through a full lab and coaching model in east Africa shows promising social impact. Its traction via social media (16K Instagram followers during Ramadan) and a holistic health approach place it in Rocket Y’s category. The metrics—especially the focus on scaling healthcare access—support a final label of Rocket Y.”,"“If further clinical validations and customer acquisitions occur slowly, there may be an argument to re‑evaluate its stage as closer to Rocket X.”",Run,4
AquaSustain Bottles,Food & Beverage,Unsuccessful,Provides stainless‑steel/aluminium reusable water bottles via a subscription model with ad‑supported revenue and autoclave cleaning,India,50%,20%,20%,10%,W,"“AquaSustain Bottles aims to disrupt the bottled water market in India (market size ~$2.4B) with a low‑cost subscription model and innovative exchange service. Its concept remains in development with no external funding yet, which fits Rocket W’s early‑stage profile. The percentages reflect an early operational phase with potential for scale if pilots succeed.”","“If the model proves profitable and expands to additional cities and transport hubs, its metrics could eventually warrant a shift toward Rocket X.”",Launch,1
Kayyo,Artificial Intelligence,Pre Seed,An AI‑powered MMA training app using computer vision and text‑to‑motion models to deliver personalized martial arts training,UnitedStates,5%,15%,70%,10%,Y,"“Kayyo’s pre‑seed funded venture has achieved significant digital traction (500K downloads, 70K MAU) and is backed by notable investors. Its advanced AI technology for personalized martial arts training and its large global target market (200M potential users) place it strongly in Rocket Y’s scaling phase. The metrics clearly favor Rocket Y.”","“If product development remains in a temporary ‘duct‑taping’ stage without rapid improvements, one might argue for an interim classification as Rocket X until further robustness is achieved.”",Run,3
LiquePro,Education/Environment,"Beta, Pre Seed",Converts plastic waste into diesel‑grade liquid fuel via an innovative liquefaction process developed at University of Malaya,Malaysia,5%,15%,70%,10%,Y,"“LiquePro’s innovative technology and receipt of a RM200K POC grant place it firmly in the scaling phase, aligning with Rocket Y. Its conversion process, which produces high‑quality fuel comparable to diesel, demonstrates strong technical validation. The percentages (5/15/70/10) reflect its readiness for market validation and further scaling.”","“If commercialization and revenue generation take longer than expected, a temporary re‑assessment toward Rocket X might be justified until broader market adoption is achieved.”",Run,4
TakeOff,Environment,Unsuccessful,A carbon management tool for individuals and businesses offering a sharia‑compliant approach to environmental impact tracking,France,20%,20%,50%,10%,Y,"“TakeOff is an environmental tool still in development with no external funding, targeting B2B markets with a potential TAM of 2 trillion dollars. Its focus on scalability, user‑friendly design, and sharia‑compliant services aligns well with Rocket Y’s criteria. The assigned percentages reflect a balanced scaling potential that fits a Rocket Y classification.”","“If the product launch is delayed or market adoption is slower, there may be a case for a temporary Rocket X label until further traction is demonstrated.”",Run,4
WASTE MASTERS,Environment,Unsuccessful,A waste management solution focused on recycling solid waste into energy and promoting community education and sustainable practices,Malawi,50%,20%,20%,10%,W,"“WASTE MASTERS is an ideation‑stage project with no external funding that focuses on reducing urban waste and generating electricity. Its scope targets a city of 3 million people and emphasizes community education and sustainable practices. The early‑stage, low‑investment profile aligns with Rocket W’s criteria.”","“If the project successfully pilots waste-to‑energy conversion with demonstrable revenue, it could later transition to Rocket X.”",Launch,1
Starkite technologies,Technology & Entertainment,Unsuccessful,A proposed gaming and entertainment venue aimed at introducing EA sports–inspired arcades to a predominantly Muslim community,Namibia,40%,20%,20%,20%,W,"“Starkite technologies is in the ideation stage with no external investment, proposing a unique entertainment space for Muslims in Windhoek. Its focus on providing safe, halal‑compliant entertainment aligns with early‑stage startup metrics. The balanced percentages (40/20/20/20) support a classification as Rocket W at this point.”","“If Starkite secures funding and demonstrates pilot success in creating an arcade venue, its metrics could evolve to indicate a higher rocket type such as Rocket X.”",Launch,1
Aether AI,Technology & Climate,Unsuccessful,A carbon accounting platform aiming to help users track and offset carbon emissions through multiple eco‑commerce tools,Austria,10%,10%,70%,10%,Y,“Aether AI is an ideation‑stage venture addressing the vast challenge of climate change with a suite of eco‑platforms. Its focus on carbon accounting and renewable energy projects positions it in a high‑scaling phase that aligns with Rocket Y metrics. The percentages (10/10/70/10) reflect strong potential once the MVP is developed.”,"“Due to current health‑related delays, if the project experiences slower progress, a temporary re‑classification toward Rocket X might be warranted until full market entry.”",Launch,1
U TALIB,Education,Buildathon Pipeline,"An edtech platform delivering qualitative and therapeutic education for Nigerian children (5‑13 years), with AI‑powered tools",Nigeria,10%,20%,60%,10%,Y,"“U TALIB, developed through a buildathon pipeline and now in the seed phase, targets Nigeria’s 20 million out‑of‑school children with special needs. Its impressive early traction (95% success rate with paying parents, ₦10M+ revenue) aligns with Rocket Y’s criteria. The metrics (10/20/60/10) support a final label of Rocket Y.”","“If initial enrollment targets are not met, there might be an interim case to classify U TALIB as Rocket X until further scaling occurs.”",Run,4
aleykum (sub‑brand),Media & Entertainment,Unsuccessful,"A digital media portal for Muslims to discover prayer rooms, mosques, halal eateries, and family‑friendly venues in their city",UnitedArabEmirates,50%,20%,20%,10%,W,"“aleykum is at an ideation stage with no external funding, aiming to become the primary channel for Muslim families to navigate their faith in daily life. Its curated, 100% halal content approach and regional focus (Dubai initially) meet the early‑stage criteria for Rocket W. The assigned percentages favor Rocket W given the current development status.”","“Should the platform secure early partnerships and user engagement, its profile might improve toward Rocket X as it transitions into a viable product.”",Launch,1
CHATDOC,Healthcare & Telehealth,Pre Seed,"A telehealth platform for Nigeria offering multimodal consultations (chat, call, video) with integrated screening for common illnesses",Nigeria,5%,15%,70%,10%,Y,"“CHATDOC, with its pre‑seed funding and a pioneering approach to telehealth in northern Nigeria, has already onboarded 48 doctors and served 1,000+ patients. Its detailed roadmap and significant market need in rural regions align well with Rocket Y’s criteria. The percentages (5/15/70/10) reflect a strong scaling profile in the healthcare space.”","“If additional funding and technological integrations (like USSD) are delayed, a temporary re‑evaluation toward Rocket X might be considered until broader market adoption occurs.”",Run,4
Gentle Hands,Healthcare & Home Services,Unsuccessful,A home healthcare services platform providing on‑demand access to healthcare professionals for in‑home consultations,Pakistan,30%,20%,40%,10%,W,"“Gentle Hands is developing a platform to provide comprehensive home healthcare services in Pakistan, with a focus on culturally sensitive care. Its concept remains in development with no external funding, aligning it with early‑stage Rocket W metrics. The percentages reflect a moderate potential that currently best fits a Rocket W label.”","“If pilot programs yield strong user uptake and customer retention, a re‑assessment toward Rocket X could be justified in subsequent funding rounds.”",Launch,1
